ziplenderId,zip,district,state,lenderid,activestatus,createdon,updatedon,createdby,updatedby
71,110089,North West Delhi,Delhi,11,1,04-10-2023,04-10-2023,Vastu,Vastu
72,110090,North East Delhi,Delhi,11,1,04-10-2023,04-10-2023,Vastu,Vastu
73,110091,East Delhi,Delhi,11,1,04-10-2023,04-10-2023,Vastu,Vastu
74,110092,East Delhi,Delhi,11,1,04-10-2023,04-10-2023,Vastu,Vastu
75,110093,North East Delhi,Delhi,11,1,04-10-2023,04-10-2023,Vastu,Vastu
76,110094,North West Delhi,Delhi,11,1,04-10-2023,04-10-2023,Vastu,Vastu
77,110095,East Delhi,Delhi,11,1,04-10-2023,04-10-2023,Vastu,Vastu
78,110096,East Delhi,Delhi,11,1,04-10-2023,04-10-2023,Vastu,Vastu
79,110097,South West Delhi,Delhi,11,1,04-10-2023,04-10-2023,Vastu,Vastu
80,121001,Faridabad,Haryana,11,1,04-10-2023,04-10-2023,Vastu,Vastu
81,121002,Faridabad,Haryana,11,1,04-10-2023,04-10-2023,Vastu,Vastu
82,121005,Faridabad,Haryana,11,1,04-10-2023,04-10-2023,Vastu,Vastu
83,121006,Faridabad,Haryana,11,1,04-10-2023,04-10-2023,Vastu,Vastu
84,121007,Faridabad,Haryana,11,1,04-10-2023,04-10-2023,Vastu,Vastu
85,121008,Faridabad,Haryana,11,1,04-10-2023,04-10-2023,Vastu,Vastu
86,121009,Faridabad,Haryana,11,1,04-10-2023,04-10-2023,Vastu,Vastu
87,121010,Faridabad,Haryana,11,1,04-10-2023,04-10-2023,Vastu,Vastu
88,121012,Faridabad,Haryana,11,1,04-10-2023,04-10-2023,Vastu,Vastu
89,121013,Faridabad,Haryana,11,1,04-10-2023,04-10-2023,Vastu,Vastu
90,121014,Faridabad,Haryana,11,1,04-10-2023,04-10-2023,Vastu,Vastu
91,121015,Faridabad,Haryana,11,1,04-10-2023,04-10-2023,Vastu,Vastu
92,121106,Faridabad,Haryana,11,1,04-10-2023,04-10-2023,Vastu,Vastu
93,122001,Gurgaon,Haryana,11,1,04-10-2023,04-10-2023,Vastu,Vastu
94,122002,Gurgaon,Haryana,11,1,04-10-2023,04-10-2023,Vastu,Vastu
95,122003,Gurgaon,Haryana,11,1,04-10-2023,04-10-2023,Vastu,Vastu
96,122004,Gurgaon,Haryana,11,1,04-10-2023,04-10-2023,Vastu,Vastu
97,122005,Gurgaon,Haryana,11,1,04-10-2023,04-10-2023,Vastu,Vastu
98,122006,Gurgaon,Haryana,11,1,04-10-2023,04-10-2023,Vastu,Vastu
99,122007,Gurgaon,Haryana,11,1,04-10-2023,04-10-2023,Vastu,Vastu
100,122008,Gurgaon,Haryana,11,1,04-10-2023,04-10-2023,Vastu,Vastu
101,122009,Gurgaon,Haryana,11,1,04-10-2023,04-10-2023,Vastu,Vastu
102,122010,Gurgaon,Haryana,11,1,04-10-2023,04-10-2023,Vastu,Vastu
103,122011,Gurgaon,Haryana,11,1,04-10-2023,04-10-2023,Vastu,Vastu
104,122012,Gurgaon,Haryana,11,1,04-10-2023,04-10-2023,Vastu,Vastu
105,122015,Gurgaon,Haryana,11,1,04-10-2023,04-10-2023,Vastu,Vastu
106,122016,Gurgaon,Haryana,11,1,04-10-2023,04-10-2023,Vastu,Vastu
107,122017,Gurgaon,Haryana,11,1,04-10-2023,04-10-2023,Vastu,Vastu
108,122018,Gurgaon,Haryana,11,1,04-10-2023,04-10-2023,Vastu,Vastu
109,122051,Gurgaon,Haryana,11,1,04-10-2023,04-10-2023,Vastu,Vastu
110,122052,Gurgaon,Haryana,11,1,04-10-2023,04-10-2023,Vastu,Vastu
111,122098,Gurgaon,Haryana,11,1,04-10-2023,04-10-2023,Vastu,Vastu
112,122101,Gurgaon,Haryana,11,1,04-10-2023,04-10-2023,Vastu,Vastu
113,122102,Gurgaon,Haryana,11,1,04-10-2023,04-10-2023,Vastu,Vastu
114,122103,Gurgaon,Haryana,11,1,04-10-2023,04-10-2023,Vastu,Vastu
115,122104,Gurgaon,Haryana,11,1,04-10-2023,04-10-2023,Vastu,Vastu
116,122105,Gurgaon,Haryana,11,1,04-10-2023,04-10-2023,Vastu,Vastu
117,122107,Gurgaon,Haryana,11,1,04-10-2023,04-10-2023,Vastu,Vastu
118,122108,Gurgaon,Haryana,11,1,04-10-2023,04-10-2023,Vastu,Vastu
119,122414,Gurgaon,Haryana,11,1,04-10-2023,04-10-2023,Vastu,Vastu
120,122502,Gurgaon,Haryana,11,1,04-10-2023,04-10-2023,Vastu,Vastu
121,122503,Gurgaon,Haryana,11,1,04-10-2023,04-10-2023,Vastu,Vastu
122,122504,Gurgaon,Haryana,11,1,04-10-2023,04-10-2023,Vastu,Vastu
123,122505,Gurgaon,Haryana,11,1,04-10-2023,04-10-2023,Vastu,Vastu
124,122506,Gurgaon,Haryana,11,1,04-10-2023,04-10-2023,Vastu,Vastu
125,122508,Gurgaon,Haryana,11,1,04-10-2023,04-10-2023,Vastu,Vastu
126,123001,Mahendragarh,Haryana,11,1,04-10-2023,04-10-2023,Vastu,Vastu
127,123021,Mahendragarh,Haryana,11,1,04-10-2023,04-10-2023,Vastu,Vastu
128,123023,Mahendragarh,Haryana,11,1,04-10-2023,04-10-2023,Vastu,Vastu
129,123024,Mahendragarh,Haryana,11,1,04-10-2023,04-10-2023,Vastu,Vastu
130,123027,Mahendragarh,Haryana,11,1,04-10-2023,04-10-2023,Vastu,Vastu
131,123028,Mahendragarh,Haryana,11,1,04-10-2023,04-10-2023,Vastu,Vastu
132,123029,Mahendragarh,Haryana,11,1,04-10-2023,04-10-2023,Vastu,Vastu
133,123031,Mahendragarh,Haryana,11,1,04-10-2023,04-10-2023,Vastu,Vastu
134,123034,Mahendragarh,Haryana,11,1,04-10-2023,04-10-2023,Vastu,Vastu
135,123035,Rewari,Haryana,11,1,04-10-2023,04-10-2023,Vastu,Vastu
136,123101,Rewari,Haryana,11,1,04-10-2023,04-10-2023,Vastu,Vastu
137,123102,Rewari,Haryana,11,1,04-10-2023,04-10-2023,Vastu,Vastu
138,123103,Rewari,Haryana,11,1,04-10-2023,04-10-2023,Vastu,Vastu
139,123106,Rewari,Haryana,11,1,04-10-2023,04-10-2023,Vastu,Vastu
140,123110,Rewari,Haryana,11,1,04-10-2023,04-10-2023,Vastu,Vastu
141,123301,Rewari,Haryana,11,1,04-10-2023,04-10-2023,Vastu,Vastu
142,123302,Rewari,Haryana,11,1,04-10-2023,04-10-2023,Vastu,Vastu
143,123303,Mahendragarh,Haryana,11,1,04-10-2023,04-10-2023,Vastu,Vastu
144,123401,Rewari,Haryana,11,1,04-10-2023,04-10-2023,Vastu,Vastu
145,123411,Mahendragarh,Haryana,11,1,04-10-2023,04-10-2023,Vastu,Vastu
146,123412,Mahendragarh,Haryana,11,1,04-10-2023,04-10-2023,Vastu,Vastu
147,123501,Mahendragarh,Haryana,11,1,04-10-2023,04-10-2023,Vastu,Vastu
148,124010,Rohtak,Haryana,11,1,04-10-2023,04-10-2023,Vastu,Vastu
149,124021,Rohtak,Haryana,11,1,04-10-2023,04-10-2023,Vastu,Vastu
150,124022,Rohtak,Haryana,11,1,04-10-2023,04-10-2023,Vastu,Vastu
151,124102,Jhajjar,Haryana,11,1,04-10-2023,04-10-2023,Vastu,Vastu
152,124103,Jhajjar,Haryana,11,1,04-10-2023,04-10-2023,Vastu,Vastu
153,124104,Jhajjar,Haryana,11,1,04-10-2023,04-10-2023,Vastu,Vastu
154,124105,Jhajjar,Haryana,11,1,04-10-2023,04-10-2023,Vastu,Vastu
155,124106,Jhajjar,Haryana,11,1,04-10-2023,04-10-2023,Vastu,Vastu
156,124107,Jhajjar,Haryana,11,1,04-10-2023,04-10-2023,Vastu,Vastu
157,124108,Jhajjar,Haryana,11,1,04-10-2023,04-10-2023,Vastu,Vastu
158,124109,Jhajjar,Haryana,11,1,04-10-2023,04-10-2023,Vastu,Vastu
159,124111,Rohtak,Haryana,11,1,04-10-2023,04-10-2023,Vastu,Vastu
160,124112,Rohtak,Haryana,11,1,04-10-2023,04-10-2023,Vastu,Vastu
161,124113,Rohtak,Haryana,11,1,04-10-2023,04-10-2023,Vastu,Vastu
162,124141,Rohtak,Haryana,11,1,04-10-2023,04-10-2023,Vastu,Vastu
163,124142,Jhajjar,Haryana,11,1,04-10-2023,04-10-2023,Vastu,Vastu
164,124146,Jhajjar,Haryana,11,1,04-10-2023,04-10-2023,Vastu,Vastu
165,124202,Jhajjar,Haryana,11,1,04-10-2023,04-10-2023,Vastu,Vastu
166,124401,Rohtak,Haryana,11,1,04-10-2023,04-10-2023,Vastu,Vastu
167,124404,Rohtak,Haryana,11,1,04-10-2023,04-10-2023,Vastu,Vastu
168,124406,Rohtak,Haryana,11,1,04-10-2023,04-10-2023,Vastu,Vastu
169,124411,Rohtak,Haryana,11,1,04-10-2023,04-10-2023,Vastu,Vastu
170,124412,Rohtak,Haryana,11,1,04-10-2023,04-10-2023,Vastu,Vastu
171,124501,Rohtak,Haryana,11,1,04-10-2023,04-10-2023,Vastu,Vastu
172,124504,Jhajjar,Haryana,11,1,04-10-2023,04-10-2023,Vastu,Vastu
173,124505,Jhajjar,Haryana,11,1,04-10-2023,04-10-2023,Vastu,Vastu
174,124506,Jhajjar,Haryana,11,1,04-10-2023,04-10-2023,Vastu,Vastu
175,124508,Jhajjar,Haryana,11,1,04-10-2023,04-10-2023,Vastu,Vastu
176,124513,Rohtak,Haryana,11,1,04-10-2023,04-10-2023,Vastu,Vastu
177,125005,Hisar,Haryana,11,1,04-10-2023,04-10-2023,Vastu,Vastu
178,125006,Hisar,Haryana,11,1,04-10-2023,04-10-2023,Vastu,Vastu
179,125007,Hisar,Haryana,11,1,04-10-2023,04-10-2023,Vastu,Vastu
180,125011,Hisar,Haryana,11,1,04-10-2023,04-10-2023,Vastu,Vastu
181,125033,Hisar,Haryana,11,1,04-10-2023,04-10-2023,Vastu,Vastu
182,125037,Hisar,Haryana,11,1,04-10-2023,04-10-2023,Vastu,Vastu
183,125038,Hisar,Haryana,11,1,04-10-2023,04-10-2023,Vastu,Vastu
184,125039,Hisar,Haryana,11,1,04-10-2023,04-10-2023,Vastu,Vastu
185,125044,Hisar,Haryana,11,1,04-10-2023,04-10-2023,Vastu,Vastu
186,125047,Hisar,Haryana,11,1,04-10-2023,04-10-2023,Vastu,Vastu
187,125049,Hisar,Haryana,11,1,04-10-2023,04-10-2023,Vastu,Vastu
188,125101,Sirsa,Haryana,11,1,04-10-2023,04-10-2023,Vastu,Vastu
189,125102,Sirsa,Haryana,11,1,04-10-2023,04-10-2023,Vastu,Vastu
190,125103,Sirsa,Haryana,11,1,04-10-2023,04-10-2023,Vastu,Vastu
191,125104,Sirsa,Haryana,11,1,04-10-2023,04-10-2023,Vastu,Vastu
192,125111,Fatehabad,Haryana,11,1,04-10-2023,04-10-2023,Vastu,Vastu
193,125112,Hisar,Haryana,11,1,04-10-2023,04-10-2023,Vastu,Vastu
194,125201,Sirsa,Haryana,11,1,04-10-2023,04-10-2023,Vastu,Vastu
195,126114,Jind,Haryana,11,1,04-10-2023,04-10-2023,Vastu,Vastu
196,127021,Bhiwani,Haryana,11,1,04-10-2023,04-10-2023,Vastu,Vastu
197,127022,Bhiwani,Haryana,11,1,04-10-2023,04-10-2023,Vastu,Vastu
198,127025,Bhiwani,Haryana,11,1,04-10-2023,04-10-2023,Vastu,Vastu
199,127026,Bhiwani,Haryana,11,1,04-10-2023,04-10-2023,Vastu,Vastu
200,127027,Bhiwani,Haryana,11,1,04-10-2023,04-10-2023,Vastu,Vastu
201,127028,Bhiwani,Haryana,11,1,04-10-2023,04-10-2023,Vastu,Vastu
202,127029,Bhiwani,Haryana,11,1,04-10-2023,04-10-2023,Vastu,Vastu
203,127030,Bhiwani,Haryana,11,1,04-10-2023,04-10-2023,Vastu,Vastu
204,127031,Bhiwani,Haryana,11,1,04-10-2023,04-10-2023,Vastu,Vastu
205,127032,Bhiwani,Haryana,11,1,04-10-2023,04-10-2023,Vastu,Vastu
206,127035,Bhiwani,Haryana,11,1,04-10-2023,04-10-2023,Vastu,Vastu
207,127040,Bhiwani,Haryana,11,1,04-10-2023,04-10-2023,Vastu,Vastu
208,127041,Bhiwani,Haryana,11,1,04-10-2023,04-10-2023,Vastu,Vastu
209,127042,Bhiwani,Haryana,11,1,04-10-2023,04-10-2023,Vastu,Vastu
210,127043,Bhiwani,Haryana,11,1,04-10-2023,04-10-2023,Vastu,Vastu
211,127045,Bhiwani,Haryana,11,1,04-10-2023,04-10-2023,Vastu,Vastu
212,127046,Bhiwani,Haryana,11,1,04-10-2023,04-10-2023,Vastu,Vastu
213,127111,Bhiwani,Haryana,11,1,04-10-2023,04-10-2023,Vastu,Vastu
214,127114,Bhiwani,Haryana,11,1,04-10-2023,04-10-2023,Vastu,Vastu
215,127201,Bhiwani,Haryana,11,1,04-10-2023,04-10-2023,Vastu,Vastu
216,127306,Bhiwani,Haryana,11,1,04-10-2023,04-10-2023,Vastu,Vastu
217,127307,Bhiwani,Haryana,11,1,04-10-2023,04-10-2023,Vastu,Vastu
218,127308,Bhiwani,Haryana,11,1,04-10-2023,04-10-2023,Vastu,Vastu
219,127309,Bhiwani,Haryana,11,1,04-10-2023,04-10-2023,Vastu,Vastu
220,127310,Bhiwani,Haryana,11,1,04-10-2023,04-10-2023,Vastu,Vastu
221,127311,Bhiwani,Haryana,11,1,04-10-2023,04-10-2023,Vastu,Vastu
222,127312,Bhiwani,Haryana,11,1,04-10-2023,04-10-2023,Vastu,Vastu
223,131021,Sonipat,Haryana,11,1,04-10-2023,04-10-2023,Vastu,Vastu
224,131023,Sonipat,Haryana,11,1,04-10-2023,04-10-2023,Vastu,Vastu
225,131024,Sonipat,Haryana,11,1,04-10-2023,04-10-2023,Vastu,Vastu
